Type,Title,Last Visited,Host
Commit,Merge pull request #498 from shazzar00ni/claude/remove-console-logs-z4goD,2026-02-20T19:29:24Z,github.com
Commit,Remove development console.log statements,2026-02-20T17:44:43Z,github.com
Commit,Create gitVersionControl.md,2026-02-20T17:37:45Z,github.com
Commit,chore(deps): bump @fortawesome/free-solid-svg-icons from 7.1.0 to 7.2.0,2026-02-18T06:12:03Z,github.com
Commit,Merge pull request #479 from shazzar00ni/dependabot/npm_and_yarn/fortawesome/free-brands-svg-icons-7.2.0,2026-02-18T06:11:09Z,github.com
Commit,chore(deps): bump @fortawesome/free-brands-svg-icons from 7.1.0 to 7.2.0,2026-02-18T06:10:59Z,github.com
Commit,Merge pull request #480 from shazzar00ni/dependabot/npm_and_yarn/sentry/react-10.39.0,2026-02-18T06:10:38Z,github.com
Commit,Merge pull request #481 from shazzar00ni/dependabot/npm_and_yarn/fortawesome/fontawesome-svg-core-7.2.0,2026-02-18T06:10:02Z,github.com
Commit,Merge pull request #482 from shazzar00ni/dependabot/github_actions/mikepenz/release-changelog-builder-action-6,2026-02-18T06:09:32Z,github.com
Commit,Merge branch 'main' into dependabot/github_actions/mikepenz/release-changelog-builder-action-6,2026-02-18T06:08:57Z,github.com
Commit,Merge pull request #472 from shazzar00ni/dependabot/npm_and_yarn/qs-6.14.2,2026-02-18T06:03:55Z,github.com
Commit,Merge branch 'main' into dependabot/npm_and_yarn/qs-6.14.2,2026-02-18T06:03:46Z,github.com
Commit,Merge pull request #483 from shazzar00ni/dependabot/github_actions/github/codeql-action-4.32.3,2026-02-18T06:02:32Z,github.com
Commit,Merge pull request #489 from shazzar00ni/fix/snyk-hardcoded-passwords,2026-02-17T16:42:17Z,github.com
Commit,fix: replace hardcoded credentials with env variables in analytics test,2026-02-17T16:38:34Z,github.com
Commit,ci: bump github/codeql-action from 4.32.2 to 4.32.3,2026-02-16T09:43:34Z,github.com
Commit,ci: bump mikepenz/release-changelog-builder-action from 5 to 6,2026-02-16T09:43:13Z,github.com
Commit,chore(deps): bump @fortawesome/fontawesome-svg-core from 7.1.0 to 7.2.0,2026-02-16T09:41:34Z,github.com
Commit,chore(deps): bump @sentry/react from 10.38.0 to 10.39.0,2026-02-16T09:41:29Z,github.com
Commit,chore(deps-dev): bump wait-on from 9.0.3 to 9.0.4,2026-02-16T09:40:52Z,github.com
Commit,chore(deps-dev): bump jsdom from 28.0.0 to 28.1.0,2026-02-16T09:40:45Z,github.com
Commit,Weekly Paperlyte activity report,2026-02-16T00:18:36Z,github.com
